基金代码,基金名称,日期,单位净值,累计净值,复权净值
SQB775,衍复新擎对冲一号A期,2021-05-19,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-21,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-24,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-25,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-26,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-27,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-28,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-05-31,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-06-01,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-06-04,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-06-10,1.0,1.0,1.0
SQB775,衍复新擎对冲一号A期,2021-06-16,0.9999,0.9999,0.9999
SQB775,衍复新擎对冲一号A期,2021-06-21,0.9999,0.9999,0.9999
SQB775,衍复新擎对冲一号A期,2021-06-24,0.9998,0.9998,0.9998
SQB775,衍复新擎对冲一号A期,2021-07-01,0.9997,0.9997,0.9997
SQB775,衍复新擎对冲一号A期,2021-07-05,0.9998,0.9998,0.9998
SQB775,衍复新擎对冲一号A期,2021-07-08,0.9998,0.9998,0.9998
SQB775,衍复新擎对冲一号A期,2021-07-15,0.9955,0.9955,0.9955
SQB775,衍复新擎对冲一号A期,2021-07-19,0.9952,0.9952,0.9952
SQB775,衍复新擎对冲一号A期,2021-07-22,0.9924,0.9924,0.9923999999999998
SQB775,衍复新擎对冲一号A期,2021-07-29,1.0023,1.0023,1.0022999999999995
SQB775,衍复新擎对冲一号A期,2021-08-03,1.0105,1.0105,1.0104999999999995
SQB775,衍复新擎对冲一号A期,2021-08-06,1.0177,1.0177,1.0176999999999998
SQB775,衍复新擎对冲一号A期,2021-08-12,1.0232,1.0232,1.0232
SQB775,衍复新擎对冲一号A期,2021-08-17,1.0218,1.0218,1.0217999999999998
SQB775,衍复新擎对冲一号A期,2021-08-20,1.0192,1.0192,1.0192
SQB775,衍复新擎对冲一号A期,2021-08-26,1.0182,1.0182,1.0181999999999998
SQB775,衍复新擎对冲一号A期,2021-09-02,1.0277,1.0277,1.0276999999999998
SQB775,衍复新擎对冲一号A期,2021-09-03,1.0363,1.0363,1.0362999999999998
SQB775,衍复新擎对冲一号A期,2021-09-09,1.0338,1.0338,1.0337999999999998
SQB775,衍复新擎对冲一号A期,2021-09-16,1.0265,1.0265,1.0264999999999995
SQB775,衍复新擎对冲一号A期,2021-09-17,1.025,1.025,1.0249999999999997
SQB775,衍复新擎对冲一号A期,2021-09-27,1.0278,1.0278,1.0277999999999998
