日期,单位净值,累计净值,累计单位净值,基金id
2023-05-26,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-05-29,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-05-30,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-05-31,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-01,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-02,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-05,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-06,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-07,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-08,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-09,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-12,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-13,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-14,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-15,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-16,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-19,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-20,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-21,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-06-29,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-07-06,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-07-07,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-07-13,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-07-20,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-07-24,0.999,0.999,0.999,道合青云8号1期私募证券投资基金
2023-08-01,0.999,0.999,0.999,道合青云8号1期私募证券投资基金
2023-08-04,1.0,1.0,1.0,道合青云8号1期私募证券投资基金
2023-08-08,1.002,1.002,1.002,道合青云8号1期私募证券投资基金
2023-08-11,1.002,1.002,1.002,道合青云8号1期私募证券投资基金
2023-08-15,0.999,0.999,0.999,道合青云8号1期私募证券投资基金
2023-08-16,0.999,0.999,0.999,道合青云8号1期私募证券投资基金
2023-08-17,0.999,0.999,0.999,道合青云8号1期私募证券投资基金
2023-08-22,0.997,0.997,0.997,道合青云8号1期私募证券投资基金
2023-08-23,0.991,0.991,0.991,道合青云8号1期私募证券投资基金
2023-08-29,0.996,0.996,0.996,道合青云8号1期私募证券投资基金
2023-09-05,0.992,0.992,0.992,道合青云8号1期私募证券投资基金
2023-09-07,0.99,0.99,0.99,道合青云8号1期私募证券投资基金
2023-09-12,0.984,0.984,0.984,道合青云8号1期私募证券投资基金
2023-09-19,0.979,0.979,0.979,道合青云8号1期私募证券投资基金
2023-09-22,0.983,0.983,0.9829999999999999,道合青云8号1期私募证券投资基金
2023-09-26,0.979,0.979,0.9789999999999999,道合青云8号1期私募证券投资基金
2023-10-10,0.981,0.981,0.981,道合青云8号1期私募证券投资基金
2023-10-11,0.979,0.979,0.979,道合青云8号1期私募证券投资基金
2023-10-17,0.964,0.964,0.964,道合青云8号1期私募证券投资基金
2023-10-24,0.964,0.964,0.964,道合青云8号1期私募证券投资基金
2023-10-31,0.967,0.967,0.967,道合青云8号1期私募证券投资基金
2023-11-07,0.971,0.971,0.971,道合青云8号1期私募证券投资基金
2023-11-08,0.972,0.972,0.9719999999999999,道合青云8号1期私募证券投资基金
2023-11-14,0.975,0.975,0.9749999999999999,道合青云8号1期私募证券投资基金
2023-11-21,0.977,0.977,0.977,道合青云8号1期私募证券投资基金
2023-11-22,0.976,0.976,0.976,道合青云8号1期私募证券投资基金
2023-11-28,0.973,0.973,0.973,道合青云8号1期私募证券投资基金
2023-12-05,0.969,0.969,0.969,道合青云8号1期私募证券投资基金
2023-12-07,0.967,0.967,0.967,道合青云8号1期私募证券投资基金
2023-12-12,0.963,0.963,0.963,道合青云8号1期私募证券投资基金
2023-12-19,0.965,0.965,0.9649999999999999,道合青云8号1期私募证券投资基金
2023-12-22,0.968,0.968,0.9679999999999997,道合青云8号1期私募证券投资基金
2023-12-27,0.966,0.966,0.9659999999999997,道合青云8号1期私募证券投资基金
2024-01-03,0.966,0.966,0.9659999999999997,道合青云8号1期私募证券投资基金
2024-01-11,0.965,0.965,0.9649999999999997,道合青云8号1期私募证券投资基金
2024-01-16,0.965,0.965,0.9649999999999997,道合青云8号1期私募证券投资基金
2024-01-23,0.962,0.962,0.9619999999999997,道合青云8号1期私募证券投资基金
2024-01-24,0.959,0.959,0.9589999999999997,道合青云8号1期私募证券投资基金
2024-01-30,0.956,0.956,0.9559999999999997,道合青云8号1期私募证券投资基金
2024-02-06,0.961,0.961,0.9609999999999996,道合青云8号1期私募证券投资基金
2024-02-07,0.96,0.96,0.9599999999999996,道合青云8号1期私募证券投资基金
2024-02-20,0.968,0.968,0.9679999999999996,道合青云8号1期私募证券投资基金
2024-02-22,0.976,0.976,0.9759999999999996,道合青云8号1期私募证券投资基金
2024-02-27,0.978,0.978,0.9779999999999996,道合青云8号1期私募证券投资基金
2024-03-05,0.979,0.979,0.9789999999999995,道合青云8号1期私募证券投资基金
2024-03-07,0.982,0.982,0.9819999999999995,道合青云8号1期私募证券投资基金
2024-03-12,0.985,0.985,0.9849999999999997,道合青云8号1期私募证券投资基金
2024-03-19,1.018,1.018,1.0179999999999998,道合青云8号1期私募证券投资基金
2024-03-22,1.01,1.01,1.0099999999999998,道合青云8号1期私募证券投资基金
2024-03-26,1.01,1.01,1.0099999999999998,道合青云8号1期私募证券投资基金
2024-04-02,1.008,1.008,1.0079999999999998,道合青云8号1期私募证券投资基金
2024-04-09,1.011,1.011,1.0109999999999997,道合青云8号1期私募证券投资基金
2024-04-11,1.004,1.004,1.0039999999999998,道合青云8号1期私募证券投资基金
2024-04-16,0.993,0.993,0.9929999999999998,道合青云8号1期私募证券投资基金
2024-04-23,0.985,0.985,0.9849999999999998,道合青云8号1期私募证券投资基金
2024-04-24,0.983,0.983,0.9829999999999998,道合青云8号1期私募证券投资基金
2024-04-30,0.982,0.982,0.9819999999999998,道合青云8号1期私募证券投资基金
2024-05-07,0.987,0.987,0.9869999999999998,道合青云8号1期私募证券投资基金
2024-05-08,0.984,0.984,0.9839999999999998,道合青云8号1期私募证券投资基金
2024-05-14,0.979,0.979,0.9789999999999998,道合青云8号1期私募证券投资基金
2024-05-21,0.993,0.993,0.9929999999999998,道合青云8号1期私募证券投资基金
2024-05-22,1.002,1.002,1.0019999999999998,道合青云8号1期私募证券投资基金
2024-05-28,0.995,0.995,0.9949999999999998,道合青云8号1期私募证券投资基金
2024-06-04,0.994,0.994,0.9939999999999998,道合青云8号1期私募证券投资基金
2024-06-07,0.962,0.962,0.9619999999999997,道合青云8号1期私募证券投资基金
2024-06-12,0.964,0.964,0.9639999999999996,道合青云8号1期私募证券投资基金
2024-06-18,0.959,0.959,0.9589999999999996,道合青云8号1期私募证券投资基金
2024-06-24,0.955,0.955,0.9549999999999996,道合青云8号1期私募证券投资基金
2024-06-25,0.958,0.958,0.9579999999999996,道合青云8号1期私募证券投资基金
2024-07-02,0.95,0.95,0.9499999999999996,道合青云8号1期私募证券投资基金
2024-07-09,0.953,0.953,0.9529999999999995,道合青云8号1期私募证券投资基金
2024-07-16,0.958,0.958,0.9579999999999996,道合青云8号1期私募证券投资基金
2024-07-23,0.937,0.937,0.9369999999999997,道合青云8号1期私募证券投资基金
2024-07-24,0.935,0.935,0.9349999999999997,道合青云8号1期私募证券投资基金
2024-07-30,0.935,0.935,0.9349999999999997,道合青云8号1期私募证券投资基金
2024-08-06,0.942,0.942,0.9419999999999996,道合青云8号1期私募证券投资基金
2024-08-07,0.938,0.938,0.9379999999999996,道合青云8号1期私募证券投资基金
2024-08-13,0.947,0.947,0.9469999999999997,道合青云8号1期私募证券投资基金
2024-08-20,0.956,0.956,0.9559999999999997,道合青云8号1期私募证券投资基金
2024-08-22,0.959,0.959,0.9589999999999997,道合青云8号1期私募证券投资基金
2024-08-27,0.958,0.958,0.9579999999999997,道合青云8号1期私募证券投资基金
2024-09-03,0.948,0.948,0.9479999999999997,道合青云8号1期私募证券投资基金
2024-09-09,0.976,0.976,0.9759999999999998,道合青云8号1期私募证券投资基金
2024-09-10,0.979,0.979,0.9789999999999999,道合青云8号1期私募证券投资基金
